Tipo de factor,Sistema o compuesto evaluado,Factor,Valor,Unidad,Referencia metodológica
Factor IPCC por sistema de manejo,Sistema de manejo en corral seco,MCF,1.5,%,IPCC
Factor IPCC por sistema de manejo,Sistema de manejo en corral seco,EF3,0.02,kg N₂O-N/kg N,IPCC
Factor IPCC por sistema de manejo,Sistema de manejo en corral seco,Fraccion volatilizada MMS,0.3,adimensional,IPCC
Factor IPCC por sistema de manejo,Sistema de manejo en corral seco,Fraccion lixiviada MMS,0.035,adimensional,IPCC
Factor IPCC por sistema de manejo,Almacenamiento sólido,MCF,4.0,%,IPCC
Factor IPCC por sistema de manejo,Almacenamiento sólido,EF3,0.01,kg N₂O-N/kg N,IPCC
Factor IPCC por sistema de manejo,Almacenamiento sólido,Fraccion volatilizada MMS,0.14,adimensional,IPCC
Factor IPCC por sistema de manejo,Almacenamiento sólido,Fraccion lixiviada MMS,0.0,adimensional,IPCC
Factor IPCC por sistema de manejo,Compostaje en sistema cerrado,MCF,0.5,%,IPCC
Factor IPCC por sistema de manejo,Compostaje en sistema cerrado,EF3,0.006,kg N₂O-N/kg N,IPCC
Factor IPCC por sistema de manejo,Compostaje en sistema cerrado,Fraccion volatilizada MMS,0.45,adimensional,IPCC
Factor IPCC por sistema de manejo,Compostaje en sistema cerrado,Fraccion lixiviada MMS,0.0,adimensional,IPCC
Factor IPCC por sistema de manejo,Laguna anaerobia descubierta,MCF,80.0,%,IPCC
Factor IPCC por sistema de manejo,Laguna anaerobia descubierta,EF3,0.0,kg N₂O-N/kg N,IPCC
Factor IPCC por sistema de manejo,Laguna anaerobia descubierta,Fraccion volatilizada MMS,0.35,adimensional,IPCC
Factor IPCC por sistema de manejo,Laguna anaerobia descubierta,Fraccion lixiviada MMS,0.0,adimensional,IPCC
Factor IPCC por sistema de manejo,Tratamiento aeróbico,MCF,0.0,%,IPCC
Factor IPCC por sistema de manejo,Tratamiento aeróbico,EF3,0.01,kg N₂O-N/kg N,IPCC
Factor IPCC por sistema de manejo,Tratamiento aeróbico,Fraccion volatilizada MMS,0.27,adimensional,IPCC
Factor IPCC por sistema de manejo,Tratamiento aeróbico,Fraccion lixiviada MMS,0.0,adimensional,IPCC
Factor IPCC por sistema de manejo,Sistema de estiércol líquido,MCF,25.0,%,IPCC
Factor IPCC por sistema de manejo,Sistema de estiércol líquido,EF3,0.0,kg N₂O-N/kg N,IPCC
Factor IPCC por sistema de manejo,Sistema de estiércol líquido,Fraccion volatilizada MMS,0.48,adimensional,IPCC
Factor IPCC por sistema de manejo,Sistema de estiércol líquido,Fraccion lixiviada MMS,0.0,adimensional,IPCC
Factor IPCC por sistema de manejo,Almacenamiento líquido sin costra natural,MCF,38.0,%,IPCC
Factor IPCC por sistema de manejo,Almacenamiento líquido sin costra natural,EF3,0.0,kg N₂O-N/kg N,IPCC
Factor IPCC por sistema de manejo,Almacenamiento líquido sin costra natural,Fraccion volatilizada MMS,0.48,adimensional,IPCC
Factor IPCC por sistema de manejo,Almacenamiento líquido sin costra natural,Fraccion lixiviada MMS,0.0,adimensional,IPCC
Factor IPCC por sistema de manejo,Aplicación al suelo de estiércol líquido previamente manejado,MCF,0.0,%,IPCC
