escenario,etapa,nombre_flujo,tipo_flujo,cantidad_anual,unidad,cantidad_por_unidad_funcional,especie_quimica,compartimento,procedencia,condicion_caracterizacion,dataset_background_pendiente,observaciones_doble_conteo
A,A1: Precomposteo,Metano biogénico,emisión directa,8.116596082143149,kg/año,0.0003088656708511719,CH4,air unspecified,CH4_ec1,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A1: Precomposteo,Óxido nitroso,emisión directa,0.713348068452381,kg/año,2.7145459436827804e-05,N2O,air unspecified,N2O_ec2,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A1: Precomposteo,Óxido nitroso,emisión directa,0.3954801691499999,kg/año,1.504944271177733e-05,N2O,air unspecified,N2O_ec5,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A1: Precomposteo,Óxido nitroso,emisión directa,0.0150659112057142,kg/año,5.733121033058e-07,N2O,air unspecified,N2O_ec6,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A1: Precomposteo,Amoniaco,emisión directa,21.166982685714284,kg/año,0.0008054798145618723,NH3,air unspecified,NH3_ec12,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A1: Precomposteo,Óxidos de nitrógeno como NO2,emisión directa,1.7898551535714284,kg/año,6.811042549604067e-05,NOx as NO2,air unspecified,NOx_as_NO2,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A1: Precomposteo,Nitrato,emisión directa,3.859861548571429,kg/año,0.00014688161324363555,NO3,fresh water,NO3_ec13,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A2: Lombricompostaje,Metano biogénico,emisión directa,4.631411857864032,kg/año,0.00017624187725866656,CH4,air unspecified,CH4_ec1,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A2: Lombricompostaje,Óxido nitroso,emisión directa,0.4116018354970238,kg/año,1.5662930095049644e-05,N2O,air unspecified,N2O_ec2,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
A,A2: Lombricompostaje,Óxido nitroso,emisión directa,0.0061572250284372,kg/año,2.343045557205715e-07,N2O,air unspecified,N2O_ec5,Caracterizado en Python mediante EF 3.1,No,"Emisión del manejo ya caracterizada; verificación externa opcional, no sumar otro total."
